,date,username,operator,binding_energy,rbs,repressors,IPTG_uM,mean_YFP_A,mean_YFP_bgcorr_A,fold_change_A
75,20160807,mrazomej,O2,-13.9,RBS1,610,500.0,17604.6695967,14203.3295066,0.691293285509
76,20160807,mrazomej,O2,-13.9,RBS1027,130,500.0,21278.0016215,17876.6615314,0.870078813439
77,20160807,mrazomej,O2,-13.9,RBS446,62,500.0,21352.4534506,17951.1133605,0.873702474323
78,20160807,mrazomej,O2,-13.9,RBS1147,30,500.0,22708.0724117,19306.7323215,0.939682094457
79,20160807,mrazomej,O2,-13.9,HG104,11,500.0,24007.006356,20605.6662658,1.00290278603
80,20160807,mrazomej,O2,-13.9,auto,0,1000.0,3447.16824419,0.0,0.0
81,20160807,mrazomej,O2,-13.9,delta,0,1000.0,22628.1224454,19180.9542012,1.0
82,20160807,mrazomej,O2,-13.9,RBS1L,870,1000.0,16952.698126,13505.5298819,0.704111471213
83,20160807,mrazomej,O2,-13.9,RBS1,610,1000.0,17624.9566424,14177.7883982,0.739159702352
84,20160807,mrazomej,O2,-13.9,RBS1027,130,1000.0,20689.6087541,17242.44051,0.898935492422
85,20160807,mrazomej,O2,-13.9,RBS446,62,1000.0,20979.3279833,17532.1597391,0.914040018823
86,20160807,mrazomej,O2,-13.9,RBS1147,30,1000.0,21873.6089776,18426.4407334,0.960663402881
